Date	FIPS	Admin2	Province_State	StateAbbrev	Country_Region	Confirmed	Deaths	Population	ConfirmedPer1M	DeathsPer1M	DeltaConfirmedPer1M	DeltaDeathsPer1M	Avg5DaysConfirmedPer1M	Avg5DaysDeathsPer1M	ConfirmedRank	DeathRank	
20200403	00066		Guam	None	US	84	4	None	None	None	None	None	None	None	2391	2391	
20200404	00066		Guam	None	US	93	4	None	None	None	None	None	None	None	2391	2391	
20200402	00072		Puerto Rico	None	US	316	12	None	None	None	None	None	None	None	2392	2392	
20200403	00072		Puerto Rico	None	US	316	15	None	None	None	None	None	None	None	2392	2392	
20200404	00072		Puerto Rico	None	US	452	18	None	None	None	None	None	None	None	2392	2392	
20200402	00078		Virgin Islands	None	US	30	0	None	None	None	None	None	None	None	2393	2393	
20200403	00078		Virgin Islands	None	US	37	0	None	None	None	None	None	None	None	2393	2393	
20200404	00078		Virgin Islands	None	US	40	0	None	None	None	None	None	None	None	2393	2393	
20200322	01001	Autauga	Alabama	AL	US	0	0	55869	0.0	0.0	None	None	None	None	1126	689	
20200323	01001	Autauga	Alabama	AL	US	0	0	55869	0.0	0.0	0.0	0.0	None	None	1126	689	
20200324	01001	Autauga	Alabama	AL	US	1	0	55869	17.899013764341586	0.0	17.899013764341586	0.0	None	None	1126	689	
20200325	01001	Autauga	Alabama	AL	US	4	0	55869	71.59605505736634	0.0	53.69704129302475	0.0	None	None	1126	689	
20200326	01001	Autauga	Alabama	AL	US	6	0	55869	107.3940825860495	0.0	35.798027528683164	0.0	None	None	1126	689	
20200327	01001	Autauga	Alabama	AL	US	6	0	55869	107.3940825860495	0.0	0.0	0.0	21.4788165172099	0.0	1126	689	
20200328	01001	Autauga	Alabama	AL	US	6	0	55869	107.3940825860495	0.0	0.0	0.0	21.4788165172099	0.0	1126	689	
20200329	01001	Autauga	Alabama	AL	US	6	0	55869	107.3940825860495	0.0	0.0	0.0	17.899013764341582	0.0	1126	689	
20200330	01001	Autauga	Alabama	AL	US	6	0	55869	107.3940825860495	0.0	0.0	0.0	7.159605505736633	0.0	1126	689	
20200331	01001	Autauga	Alabama	AL	US	7	0	55869	125.2930963503911	0.0	17.89901376434159	0.0	3.579802752868318	0.0	1126	689	
20200401	01001	Autauga	Alabama	AL	US	8	0	55869	143.19211011473269	0.0	17.89901376434159	0.0	7.159605505736636	0.0	1126	689	
20200402	01001	Autauga	Alabama	AL	US	10	0	55869	178.99013764341584	0.0	35.79802752868315	0.0	14.319211011473266	0.0	1126	689	
20200403	01001	Autauga	Alabama	AL	US	12	0	55869	214.788165172099	0.0	35.79802752868318	0.0	21.4788165172099	0.0	1126	689	
20200404	01001	Autauga	Alabama	AL	US	12	0	55869	214.788165172099	0.0	0.0	0.0	21.4788165172099	0.0	1126	689	
20200322	01003	Baldwin	Alabama	AL	US	2	0	223234	8.959208722685613	0.0	None	None	None	None	1626	621	
20200323	01003	Baldwin	Alabama	AL	US	3	0	223234	13.43881308402842	0.0	4.4796043613428065	0.0	None	None	1626	621	
20200324	01003	Baldwin	Alabama	AL	US	4	0	223234	17.918417445371226	0.0	4.4796043613428065	0.0	None	None	1626	621	
20200325	01003	Baldwin	Alabama	AL	US	4	0	223234	17.918417445371226	0.0	0.0	0.0	None	None	1626	621	
20200326	01003	Baldwin	Alabama	AL	US	5	0	223234	22.39802180671403	0.0	4.479604361342805	0.0	None	None	1626	621	
20200327	01003	Baldwin	Alabama	AL	US	5	0	223234	22.39802180671403	0.0	0.0	0.0	2.6877626168056836	0.0	1626	621	
20200328	01003	Baldwin	Alabama	AL	US	10	0	223234	44.79604361342806	0.0	22.39802180671403	0.0	6.271446105879929	0.0	1626	621	
20200329	01003	Baldwin	Alabama	AL	US	15	1	223234	67.1940654201421	4.4796043613428065	22.398021806714034	4.4796043613428065	9.855129594954175	0.8959208722685613	1626	621	
20200330	01003	Baldwin	Alabama	AL	US	18	1	223234	80.63287850417052	4.4796043613428065	13.438813084028425	0.0	12.54289221175986	0.8959208722685613	1626	621	
20200331	01003	Baldwin	Alabama	AL	US	19	1	223234	85.11248286551333	4.4796043613428065	4.479604361342808	0.0	12.54289221175986	0.8959208722685613	1626	621	
